true_label,predicted_label,count
aesthetic_emptiness,aesthetic_emptiness,0.4125
aesthetic_emptiness,energetic_playfulness,0.0
aesthetic_emptiness,intellectual_unease,0.0875
aesthetic_emptiness,lighthearted_humor,0.025
aesthetic_emptiness,melancholic,0.125
aesthetic_emptiness,pure_calm,0.25
aesthetic_emptiness,serene_beauty,0.0875
aesthetic_emptiness,sublime_activation,0.0125
energetic_playfulness,aesthetic_emptiness,0.03125
energetic_playfulness,energetic_playfulness,0.296875
energetic_playfulness,intellectual_unease,0.0625
energetic_playfulness,lighthearted_humor,0.234375
energetic_playfulness,melancholic,0.03125
energetic_playfulness,pure_calm,0.125
energetic_playfulness,serene_beauty,0.0625
energetic_playfulness,sublime_activation,0.15625
intellectual_unease,aesthetic_emptiness,0.05
intellectual_unease,energetic_playfulness,0.0125
intellectual_unease,intellectual_unease,0.6291666666666667
intellectual_unease,lighthearted_humor,0.0
intellectual_unease,melancholic,0.07083333333333333
intellectual_unease,pure_calm,0.008333333333333333
intellectual_unease,serene_beauty,0.09166666666666666
intellectual_unease,sublime_activation,0.1375
lighthearted_humor,aesthetic_emptiness,0.08333333333333333
lighthearted_humor,energetic_playfulness,0.1597222222222222
lighthearted_humor,intellectual_unease,0.006944444444444444
lighthearted_humor,lighthearted_humor,0.6458333333333334
lighthearted_humor,melancholic,0.0
lighthearted_humor,pure_calm,0.0625
lighthearted_humor,serene_beauty,0.041666666666666664
lighthearted_humor,sublime_activation,0.0
melancholic,aesthetic_emptiness,0.041666666666666664
melancholic,energetic_playfulness,0.010416666666666666
melancholic,intellectual_unease,0.2604166666666667
melancholic,lighthearted_humor,0.020833333333333332
melancholic,melancholic,0.5104166666666666
melancholic,pure_calm,0.0625
melancholic,serene_beauty,0.0625
melancholic,sublime_activation,0.03125
pure_calm,aesthetic_emptiness,0.046875
pure_calm,energetic_playfulness,0.0
pure_calm,intellectual_unease,0.0546875
pure_calm,lighthearted_humor,0.078125
pure_calm,melancholic,0.140625
pure_calm,pure_calm,0.5546875
pure_calm,serene_beauty,0.125
pure_calm,sublime_activation,0.0
serene_beauty,aesthetic_emptiness,0.0078125
serene_beauty,energetic_playfulness,0.015625
serene_beauty,intellectual_unease,0.078125
serene_beauty,lighthearted_humor,0.046875
serene_beauty,melancholic,0.0546875
serene_beauty,pure_calm,0.234375
serene_beauty,serene_beauty,0.484375
serene_beauty,sublime_activation,0.078125
sublime_activation,aesthetic_emptiness,0.009615384615384616
sublime_activation,energetic_playfulness,0.13942307692307693
sublime_activation,intellectual_unease,0.10576923076923077
sublime_activation,lighthearted_humor,0.0
sublime_activation,melancholic,0.004807692307692308
sublime_activation,pure_calm,0.04807692307692308
sublime_activation,serene_beauty,0.15384615384615385
sublime_activation,sublime_activation,0.5384615384615384
